0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:03:39 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 39310
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:04:15 +0530] "POST /Student_Result_Mangement_System/success1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:04:15 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 39310
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:04:44 +0530] "GET /Student_Result_Mangement_System/insertNewResult.jsp?rollNo=08841&s1=40&s2=50&s3=40&s4=50&s5=40&s6=50&s7=10 HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:20:25 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:20:25 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 39310
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:20:47 +0530] "GET /Student_Result_Mangement_System/insertNewResult.jsp?rollNo=08841&s1=40&s2=60&s3=40&s4=50&s5=50&s6=50&s7=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:20:47 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 39310
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:45:19 +0530] "GET /Student_Result_Mangement_System/insertNewResult.jsp?rollNo=08842&s1=60&s2=75&s3=12&s4=56&s5=45&s6=36&s7=25 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:45:19 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 39310
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:54:43 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 500 2782
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:56:20 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:56:21 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 40504
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:57:21 +0530] "POST /Student_Result_Mangement_System/success1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:12:57:21 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 40721
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:02:09 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:02:09 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41001
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:02:42 +0530] "GET /Student_Result_Mangement_System/insertNewResult.jsp?rollNo=08845&s1=12&s2=54&s3=22&s4=54&s5=22&s6=21&s7=21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:02:42 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41247
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/apj%20sir1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/tsec.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/images/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /Student_Result_Mangement_System/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:02 +0530] "GET /Student_Result_Mangement_System/studentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:02 +0530] "GET /Student_Result_Mangement_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:23:02 +0530] "GET /Student_Result_Mangement_System/result.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:28:53 +0530] "GET /Student_Result_Mangement_System/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:02 +0530] "GET /Student_Result_Mangement_System/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:02 +0530] "GET /Student_Result_Mangement_System/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:08 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:09 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41247
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:09 +0530] "GET /Student_Result_Mangement_System/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:09 +0530] "GET /Student_Result_Mangement_System/dgi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:09 +0530] "GET /Student_Result_Mangement_System/apj%20sir.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:32 +0530] "POST /Student_Result_Mangement_System/success1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:32 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41472
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:45 +0530] "GET /Student_Result_Mangement_System/insertNewResult.jsp?rollNo=10001&s1=45&s2=25&s3=36&s4=51&s5=25&s6=25&s7=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:29:45 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41712
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:43:27 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:43:27 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41712
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:44:04 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:44:04 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:44:10 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:44:10 +0530] "GET /Student_Result_Mangement_System/print.png HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:44:40 +0530] "GET /Student_Result_Mangement_System/dgiOneView.html HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:44:44 +0530] "GET /Student_Result_Mangement_System/dgiOneView.html HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:49:36 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:49:36 +0530] "GET /Student_Result_Mangement_System/errorAdminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:49:43 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:49:43 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41712
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:50:27 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41712
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:50:30 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41712
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:50:33 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41713
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:53:31 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 41670
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:54:04 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:54:04 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:54:09 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:54:15 +0530] "GET /Student_Result_Mangement_System/dgiOneView.html HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:05 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:05 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:10 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:11 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:12 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:36 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:36 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:40 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:40 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
